TIC 500, version 3.230, S/N 831
, , , , W, W, V, V, V, K, , , , ,
4K, 1K, Cryostat, ENTROPY, HOben, HUnten, R1, R2, AIO3, AIO4, DIO, Relays, V1, V2, V3
02.08.2016 14:04:43,0.582280, 0.556428, 125952.4, 3805.987, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, 0.781250, 0.000000
02.08.2016 14:04:53,0.582715, 0.556443, 125928.3, 3800.467, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, 15.62500, 0.000000
02.08.2016 14:05:03,0.583161, 0.556459, 125904.5, 3802.685, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, -3.906250, 0.000000
02.08.2016 14:05:13,0.583614, 0.556475, 125885.3, 3811.305, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, -11.32812, 0.000000
02.08.2016 14:05:23,0.584078, 0.556491, 125863.6, 3799.239, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.470347e-5, 0.390625, 0.000000
02.08.2016 14:05:34,0.584596, 0.556509, 125820.8, 3801.306, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, -18.35937, 0.000000
02.08.2016 14:05:43,0.585027, 0.556524, 125857.6, 3788.848, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 4.768371e-5, -5.078125, 0.000000
02.08.2016 14:05:54,0.585561, 0.556543, 125887.2, 3802.460, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 2.343750, 0.000000
02.08.2016 14:06:03,0.586004, 0.556558, 125931.4, 3792.446, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 19.53125, 0.000000
02.08.2016 14:06:14,0.586551, 0.556577, 125890.3, 3809.866, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 0.000000, 0.000000
02.08.2016 14:06:23,0.587004, 0.556593, 125949.3, 3806.835, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 26.56250, 0.000000
02.08.2016 14:06:33,0.587511, 0.556611, 126011.7, 3797.046, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 25.39062, 0.000000
02.08.2016 14:06:44,0.588073, 0.556630, 125825.3, 3795.042, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, -10.15625, 0.000000
02.08.2016 14:06:53,0.588538, 0.556646, 125789.3, 3805.689, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, -0.390625, 0.000000
02.08.2016 14:07:03,0.589058, 0.556665, 125781.0, 3797.247, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -4.296875, 0.000000
02.08.2016 14:07:13,0.589583, 0.556683, 125845.0, 3802.358, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, 11.71875, 0.000000
02.08.2016 14:07:23,0.590112, 0.556702, 125855.9, 3807.214, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -5.859375, 0.000000
02.08.2016 14:07:33,0.590643, 0.556722, 125919.7, 3804.273, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.066394e-5, -1.562500, 0.000000
02.08.2016 14:07:44,0.591229, 0.556743, 125936.5, 3800.968, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -1.171875, 0.000000
02.08.2016 14:07:53,0.591712, 0.556761, 125968.7, 3787.564, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 10.15625, 0.000000
02.08.2016 14:08:03,0.592250, 0.556780, 125881.6, 3792.965, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 2.734375, 0.000000
02.08.2016 14:08:13,0.592791, 0.556800, 125831.3, 3793.655, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -20.31250, 0.000000
02.08.2016 14:08:23,0.593333, 0.556821, 125896.6, 3796.230, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 20.31250, 0.000000
02.08.2016 14:08:34,0.593931, 0.556844, 125883.3, 3789.325, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -3.515625, 0.000000
02.08.2016 14:08:43,0.594422, 0.556862, 125843.0, 3789.844, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -6.250000, 0.000000
02.08.2016 14:08:53,0.594969, 0.556884, 125878.5, 3800.840, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 10.15625, 0.000000
02.08.2016 14:09:03,0.595516, 0.556905, 125971.2, 3807.078, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 19.14062, 0.000000
02.08.2016 14:09:13,0.596064, 0.556926, 125881.5, 3808.043, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -32.03125, 0.000000
02.08.2016 14:09:23,0.596615, 0.556949, 125929.6, 3811.030, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 8.203125, 0.000000
02.08.2016 14:09:33,0.597163, 0.556971, 126046.7, 3801.929, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 10.93750, 0.000000
02.08.2016 14:09:43,0.597714, 0.556993, 126105.5, 3794.838, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -10.93750, 0.000000
02.08.2016 14:09:53,0.598265, 0.557015, 126002.6, 3787.845, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -11.32812, 0.000000
02.08.2016 14:10:03,0.598815, 0.557038, 126024.2, 3789.289, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -4.687500, 0.000000
02.08.2016 14:10:13,0.599367, 0.557061, 125961.2, 3800.745, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -6.640625, 0.000000
02.08.2016 14:10:23,0.599918, 0.557084, 125855.0, 3792.988, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -17.57812, 0.000000
02.08.2016 14:10:33,0.600467, 0.557106, 125767.3, 3786.231, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, -15.62500, 0.000000
02.08.2016 14:10:43,0.601020, 0.557130, 125759.2, 3795.561, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, -12.10937, 0.000000
02.08.2016 14:10:53,0.601570, 0.557155, 125828.1, 3804.154, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 10.54687, 0.000000
02.08.2016 14:11:03,0.602120, 0.557178, 125861.4, 3790.963, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 20.31250, 0.000000
02.08.2016 14:11:14,0.602727, 0.557205, 125918.9, 3785.270, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 20.31250, 0.000000
02.08.2016 14:11:23,0.603221, 0.557227, 125884.1, 3793.198, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 4.687500, 0.000000
02.08.2016 14:11:33,0.603769, 0.557251, 125947.4, 3794.406, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 14.45312, 0.000000
02.08.2016 14:11:43,0.604317, 0.557276, 125928.1, 3795.655, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.662440e-5, 20.31250, 0.000000
02.08.2016 14:11:54,0.604920, 0.557305, 125904.2, 3799.827, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 13.28125, 0.000000
02.08.2016 14:12:03,0.605411, 0.557327, 125934.9, 3797.575, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 10.93750, 0.000000
02.08.2016 14:12:13,0.605957, 0.557353, 126035.3, 3807.263, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 28.51562, 0.000000
02.08.2016 14:12:23,0.606502, 0.557378, 125913.7, 3798.194, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 8.203125, 0.000000
02.08.2016 14:12:33,0.607046, 0.557404, 126003.8, 3795.024, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 51.95312, 0.000000
02.08.2016 14:12:43,0.607589, 0.557431, 125926.5, 3796.039, 0.000000, 0.000000, 9.993032, 9.993075, 0.000000, 0.000000, 0, 0, 5.364417e-5, 27.34375, 0.000000
